Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	cell_line	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	source_name	SRA Study	day_of_differentiation
SRR11863495	RNA-Seq	75	274403550	PRJNA635600	SAMN15044431	97877673	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414332	GSM4572589	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572589	Single Dermal Fibroblast	SRP265084	
SRR11863496	RNA-Seq	75	139681950	PRJNA635600	SAMN15044430	53540241	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414333	GSM4572590	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572590	Single Dermal Fibroblast	SRP265084	
SRR11863497	RNA-Seq	75	156837300	PRJNA635600	SAMN15044429	56394459	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414334	GSM4572591	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572591	Single Dermal Fibroblast	SRP265084	
SRR11863498	RNA-Seq	75	205059675	PRJNA635600	SAMN15044428	76458666	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414335	GSM4572592	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572592	Single Dermal Fibroblast	SRP265084	
SRR11863499	RNA-Seq	75	100824375	PRJNA635600	SAMN15044427	36693515	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414336	GSM4572593	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572593	Single Dermal Fibroblast	SRP265084	
SRR11863500	RNA-Seq	75	293924550	PRJNA635600	SAMN15044426	112126342	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414337	GSM4572594	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572594	Single Dermal Fibroblast	SRP265084	
SRR11863501	RNA-Seq	75	240151500	PRJNA635600	SAMN15044425	90068305	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414338	GSM4572595	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572595	Single Dermal Fibroblast	SRP265084	
SRR11863502	RNA-Seq	75	154755450	PRJNA635600	SAMN15044424	57679821	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414339	GSM4572596	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572596	Single Dermal Fibroblast	SRP265084	
SRR11863503	RNA-Seq	75	201273525	PRJNA635600	SAMN15044423	74174687	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414340	GSM4572597	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572597	Single Dermal Fibroblast	SRP265084	
SRR11863504	RNA-Seq	75	187325550	PRJNA635600	SAMN15044422	71979151	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414631	GSM4572598	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572598	Single Dermal Fibroblast	SRP265084	
SRR11863505	RNA-Seq	75	259225050	PRJNA635600	SAMN15044421	96240306	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414632	GSM4572599	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572599	Single Dermal Fibroblast	SRP265084	
SRR11863506	RNA-Seq	75	189715800	PRJNA635600	SAMN15044420	70670229	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414633	GSM4572600	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572600	Single Dermal Fibroblast	SRP265084	
SRR11863507	RNA-Seq	75	335354400	PRJNA635600	SAMN15044419	126140844	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414634	GSM4572601	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572601	Single Dermal Fibroblast	SRP265084	
SRR11863508	RNA-Seq	75	174326700	PRJNA635600	SAMN15044418	64185932	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414635	GSM4572602	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572602	Single Dermal Fibroblast	SRP265084	
SRR11863509	RNA-Seq	75	655471575	PRJNA635600	SAMN15044417	253098426	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414636	GSM4572603	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572603	Single Dermal Fibroblast	SRP265084	
SRR11863510	RNA-Seq	75	76636650	PRJNA635600	SAMN15044416	28354819	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414637	GSM4572604	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572604	Single Dermal Fibroblast	SRP265084	
SRR11863511	RNA-Seq	75	222500700	PRJNA635600	SAMN15044415	81136720	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414638	GSM4572605	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572605	Single Dermal Fibroblast	SRP265084	
SRR11863512	RNA-Seq	75	87620550	PRJNA635600	SAMN15044414	32414953	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414639	GSM4572606	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572606	Single Dermal Fibroblast	SRP265084	
SRR11863513	RNA-Seq	75	68046750	PRJNA635600	SAMN15044413	25894515	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414640	GSM4572607	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572607	Single Dermal Fibroblast	SRP265084	
SRR11863514	RNA-Seq	75	138790725	PRJNA635600	SAMN15044412	51634799	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414641	GSM4572608	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572608	Single Dermal Fibroblast	SRP265084	
SRR11863515	RNA-Seq	75	399144300	PRJNA635600	SAMN15044411	150824187	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414642	GSM4572609	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572609	Single Dermal Fibroblast	SRP265084	
SRR11863516	RNA-Seq	75	188090625	PRJNA635600	SAMN15044410	72857023	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414643	GSM4572610	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572610	Single Dermal Fibroblast	SRP265084	
SRR11863517	RNA-Seq	75	196079175	PRJNA635600	SAMN15044409	73183680	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414644	GSM4572611	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572611	Single Dermal Fibroblast	SRP265084	
SRR11863518	RNA-Seq	75	82581750	PRJNA635600	SAMN15044408	30873242	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414645	GSM4572612	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572612	Single Dermal Fibroblast	SRP265084	
SRR11863519	RNA-Seq	75	153247425	PRJNA635600	SAMN15044407	57607365	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414646	GSM4572613	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572613	Single Dermal Fibroblast	SRP265084	
SRR11863520	RNA-Seq	75	206028525	PRJNA635600	SAMN15044406	76432215	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415153	GSM4572614	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572614	Single Dermal Fibroblast	SRP265084	
SRR11863521	RNA-Seq	75	600908400	PRJNA635600	SAMN15044405	226790340	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415154	GSM4572615	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572615	Single Dermal Fibroblast	SRP265084	
SRR11863522	RNA-Seq	75	472393050	PRJNA635600	SAMN15044404	175000970	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415155	GSM4572616	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572616	Single Dermal Fibroblast	SRP265084	
SRR11863523	RNA-Seq	75	128592075	PRJNA635600	SAMN15044403	47380721	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415156	GSM4572617	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572617	Single Dermal Fibroblast	SRP265084	
SRR11863524	RNA-Seq	75	288017100	PRJNA635600	SAMN15044402	109271002	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415157	GSM4572618	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572618	Single Dermal Fibroblast	SRP265084	
SRR11863525	RNA-Seq	75	466665450	PRJNA635600	SAMN15044401	174956799	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415158	GSM4572619	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572619	Single Dermal Fibroblast	SRP265084	
SRR11863526	RNA-Seq	75	435240675	PRJNA635600	SAMN15044400	167815530	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415159	GSM4572620	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572620	Single Dermal Fibroblast	SRP265084	
SRR11863527	RNA-Seq	75	370573875	PRJNA635600	SAMN15044399	135874650	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415160	GSM4572621	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572621	Single Dermal Fibroblast	SRP265084	
SRR11863528	RNA-Seq	75	614776725	PRJNA635600	SAMN15044395	229117642	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415161	GSM4572622	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:43:00Z	1	GSM4572622	Single Dermal Fibroblast	SRP265084	
SRR11863529	RNA-Seq	75	95898675	PRJNA635600	SAMN15044394	36077816	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415162	GSM4572623	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572623	Single Dermal Fibroblast	SRP265084	
SRR11863530	RNA-Seq	75	366589275	PRJNA635600	SAMN15044393	136886266	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415163	GSM4572624	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572624	Single Dermal Fibroblast	SRP265084	
SRR11863531	RNA-Seq	75	268902900	PRJNA635600	SAMN15044392	100241919	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8415164	GSM4572625	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572625	Single Dermal Fibroblast	SRP265084	
