Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date	SRR Accession
GSM4572602	Sample 35_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414635	SRX8414635	Alina Isakova	1-Jun-20	SRR11863508
GSM4572603	Sample 36_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414636	SRX8414636	Alina Isakova	1-Jun-20	SRR11863509
GSM4572604	Sample 37_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414637	SRX8414637	Alina Isakova	1-Jun-20	SRR11863510
GSM4572605	Sample 38_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414638	SRX8414638	Alina Isakova	1-Jun-20	SRR11863511
GSM4572606	Sample 39_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414639	SRX8414639	Alina Isakova	1-Jun-20	SRR11863512
GSM4572607	Sample 40_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414640	SRX8414640	Alina Isakova	1-Jun-20	SRR11863513
GSM4572608	Sample 41_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414641	SRX8414641	Alina Isakova	1-Jun-20	SRR11863514
GSM4572609	Sample 42_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414642	SRX8414642	Alina Isakova	1-Jun-20	SRR11863515
GSM4572610	Sample 43_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414643	SRX8414643	Alina Isakova	1-Jun-20	SRR11863516
GSM4572611	Sample 44_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414644	SRX8414644	Alina Isakova	1-Jun-20	SRR11863517
GSM4572612	Sample 45_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414645	SRX8414645	Alina Isakova	1-Jun-20	SRR11863518
GSM4572613	Sample 46_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414646	SRX8414646	Alina Isakova	1-Jun-20	SRR11863519
GSM4572614	Sample 47_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415153	SRX8415153	Alina Isakova	1-Jun-20	SRR11863520
GSM4572615	Sample 48_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415154	SRX8415154	Alina Isakova	1-Jun-20	SRR11863521
GSM4572616	Sample 49_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415155	SRX8415155	Alina Isakova	1-Jun-20	SRR11863522
GSM4572617	Sample 50_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415156	SRX8415156	Alina Isakova	1-Jun-20	SRR11863523
GSM4572618	Sample 51_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415157	SRX8415157	Alina Isakova	1-Jun-20	SRR11863524
GSM4572619	Sample 52_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415158	SRX8415158	Alina Isakova	1-Jun-20	SRR11863525
GSM4572620	Sample 53_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415159	SRX8415159	Alina Isakova	1-Jun-20	SRR11863526
GSM4572621	Sample 54_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415160	SRX8415160	Alina Isakova	1-Jun-20	SRR11863527
GSM4572622	Sample 55_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415161	SRX8415161	Alina Isakova	1-Jun-20	SRR11863528
GSM4572623	Sample 56_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415162	SRX8415162	Alina Isakova	1-Jun-20	SRR11863529
GSM4572624	Sample 57_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415163	SRX8415163	Alina Isakova	1-Jun-20	SRR11863530
GSM4572625	Sample 58_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415164	SRX8415164	Alina Isakova	1-Jun-20	SRR11863531
GSM4572626	Sample 59_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415165	SRX8415165	Alina Isakova	1-Jun-20	SRR11863532
GSM4572627	Sample 60_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415166	SRX8415166	Alina Isakova	1-Jun-20	SRR11863533
GSM4572628	Sample 61_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415167	SRX8415167	Alina Isakova	1-Jun-20	SRR11863534
GSM4572629	Sample 62_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415168	SRX8415168	Alina Isakova	1-Jun-20	SRR11863535
GSM4572630	Sample 63_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415681	SRX8415681	Alina Isakova	1-Jun-20	SRR11863536
GSM4572631	Sample 64_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415682	SRX8415682	Alina Isakova	1-Jun-20	SRR11863537
GSM4572632	Sample 65_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415683	SRX8415683	Alina Isakova	1-Jun-20	SRR11863538
GSM4572633	Sample 66_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415684	SRX8415684	Alina Isakova	1-Jun-20	SRR11863539
GSM4572634	Sample 67_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415685	SRX8415685	Alina Isakova	1-Jun-20	SRR11863540
GSM4572635	Sample 68_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415686	SRX8415686	Alina Isakova	1-Jun-20	SRR11863541
GSM4572636	Sample 69_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415687	SRX8415687	Alina Isakova	1-Jun-20	SRR11863542
GSM4572637	Sample 70_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415688	SRX8415688	Alina Isakova	1-Jun-20	SRR11863543
GSM4572638	Sample 71_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415689	SRX8415689	Alina Isakova	1-Jun-20	SRR11863544
GSM4572639	Sample 72_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415690	SRX8415690	Alina Isakova	1-Jun-20	SRR11863545
GSM4572640	Sample 73_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415691	SRX8415691	Alina Isakova	1-Jun-20	SRR11863546
GSM4572641	Sample 74_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415692	SRX8415692	Alina Isakova	1-Jun-20	SRR11863547
GSM4572642	Sample 75_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415693	SRX8415693	Alina Isakova	1-Jun-20	SRR11863548
GSM4572643	Sample 76_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415694	SRX8415694	Alina Isakova	1-Jun-20	SRR11863549
GSM4572644	Sample 77_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415695	SRX8415695	Alina Isakova	1-Jun-20	SRR11863550
GSM4572645	Sample 78_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8415696	SRX8415696	Alina Isakova	1-Jun-20	SRR11863551
GSM4572646	Sample 79_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413418	SRX8413418	Alina Isakova	1-Jun-20	SRR11863552
GSM4572647	Sample 80_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413419	SRX8413419	Alina Isakova	1-Jun-20	SRR11863553
GSM4572648	Sample 81_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413420	SRX8413420	Alina Isakova	1-Jun-20	SRR11863554
GSM4572649	Sample 82_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413421	SRX8413421	Alina Isakova	1-Jun-20	SRR11863555
GSM4572650	Sample 83_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413422	SRX8413422	Alina Isakova	1-Jun-20	SRR11863556
GSM4572651	Sample 84_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413423	SRX8413423	Alina Isakova	1-Jun-20	SRR11863557
GSM4572652	Sample 85_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413424	SRX8413424	Alina Isakova	1-Jun-20	SRR11863558
GSM4572653	Sample 86_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413425	SRX8413425	Alina Isakova	1-Jun-20	SRR11863559
GSM4572654	Sample 87_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413426	SRX8413426	Alina Isakova	1-Jun-20	SRR11863560
GSM4572655	Sample 88_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413427	SRX8413427	Alina Isakova	1-Jun-20	SRR11863561
GSM4572656	Sample 89_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413428	SRX8413428	Alina Isakova	1-Jun-20	SRR11863562
GSM4572657	Sample 90_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413429	SRX8413429	Alina Isakova	1-Jun-20	SRR11863563
GSM4572658	Sample 91_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413430	SRX8413430	Alina Isakova	1-Jun-20	SRR11863564
GSM4572659	Sample 92_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413431	SRX8413431	Alina Isakova	1-Jun-20	SRR11863565
GSM4572660	Sample 93_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413432	SRX8413432	Alina Isakova	1-Jun-20	SRR11863566
GSM4572661	Sample 94_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413433	SRX8413433	Alina Isakova	1-Jun-20	SRR11863567
GSM4572662	Sample 95_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413985	SRX8413985	Alina Isakova	1-Jun-20	SRR11863568
GSM4572663	Sample 96_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413986	SRX8413986	Alina Isakova	1-Jun-20	SRR11863569
GSM4572664	Sample 97_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413987	SRX8413987	Alina Isakova	1-Jun-20	SRR11863570
GSM4572665	Sample 98_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413988	SRX8413988	Alina Isakova	1-Jun-20	SRR11863571
GSM4572666	Sample 99_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413989	SRX8413989	Alina Isakova	1-Jun-20	SRR11863572
GSM4572667	Sample 100_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413990	SRX8413990	Alina Isakova	1-Jun-20	SRR11863573
GSM4572668	Sample 101_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413991	SRX8413991	Alina Isakova	1-Jun-20	SRR11863574
GSM4572669	Sample 102_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413992	SRX8413992	Alina Isakova	1-Jun-20	SRR11863575
GSM4572670	Sample 103_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413993	SRX8413993	Alina Isakova	1-Jun-20	SRR11863576
GSM4572671	Sample 104_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413994	SRX8413994	Alina Isakova	1-Jun-20	SRR11863577
GSM4572672	Sample 105_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413995	SRX8413995	Alina Isakova	1-Jun-20	SRR11863578
GSM4572673	Sample 106_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413996	SRX8413996	Alina Isakova	1-Jun-20	SRR11863579
GSM4572674	Sample 107_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413997	SRX8413997	Alina Isakova	1-Jun-20	SRR11863580
GSM4572675	Sample 108_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413998	SRX8413998	Alina Isakova	1-Jun-20	SRR11863581
GSM4572676	Sample 109_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413999	SRX8413999	Alina Isakova	1-Jun-20	SRR11863582
